iter	MultiClass	Accuracy
79	0.7732913971	0.666577077
80	0.7731869701	0.6666965299
81	0.7730058226	0.6670548886
82	0.7729100827	0.6670250254
83	0.772729397	0.6668159828
84	0.7722929186	0.6668757093
85	0.7720776504	0.6669652989
86	0.7718127846	0.6672042047
87	0.7715374239	0.667234068
88	0.7713515599	0.6673535209
89	0.7712515226	0.6675327002
90	0.77111397	0.6676222899
91	0.7709160769	0.6680702383
92	0.7707077789	0.6677417428
93	0.7705559605	0.6678313325
94	0.7704318204	0.667771606
95	0.7703954099	0.6678611957
96	0.7702968246	0.6680105119
97	0.7702048201	0.6680105119
98	0.7699921214	0.6680702383
99	0.7698787344	0.6680403751
100	0.7698125057	0.6680403751
101	0.7695324069	0.6680702383
102	0.7691735925	0.6685779132
103	0.7689866629	0.668428597
104	0.7687433642	0.6687570925
105	0.7686077574	0.668816819
106	0.7684382657	0.6687869557
107	0.7682019187	0.668816819
108	0.7680480799	0.6690557248
109	0.7680237468	0.669085588
110	0.7678189945	0.6689362719
111	0.7674652249	0.6691751777
112	0.7673631667	0.6694439467
113	0.7673081477	0.6693842203
114	0.7671370122	0.6691154512
115	0.7671118646	0.6691154512
116	0.7669177304	0.6694439467
117	0.7668540211	0.6695036732
118	0.7667416843	0.6695633996
119	0.7666201754	0.6696529893
120	0.7663760658	0.6696529893
121	0.7663139347	0.6696828525
122	0.766297999	0.6696828525
123	0.7661612051	0.669742579
124	0.7661214674	0.6697127158
125	0.7660193117	0.6698918951
126	0.7657759782	0.6698321687
127	0.7657630651	0.6698321687
128	0.765634808	0.6700710745
129	0.7653780497	0.6700412113
130	0.7652573874	0.669742579
131	0.7651664365	0.6699217583
132	0.7649728637	0.6701905274
133	0.7648643184	0.6701905274
134	0.7646671006	0.6702801171
135	0.7646530213	0.6702801171
136	0.7645473643	0.6703697067
137	0.764335367	0.6704294332
138	0.7639547742	0.670011348
139	0.7636418921	0.6704891596
140	0.7634953949	0.6707280655
141	0.7633058203	0.6706982022
142	0.7632410156	0.6706384758
143	0.7630505281	0.6708773816
144	0.7627376519	0.6708475184
145	0.7626310454	0.6709072448
146	0.7625475133	0.6707877919
147	0.762516526	0.6707877919
148	0.7624946433	0.6708176551
149	0.7623240514	0.670937108
150	0.7621260529	0.6709669713
151	0.7620787556	0.6709968345
152	0.7620164026	0.6710864242
153	0.7619394839	0.6711760139
154	0.7618909239	0.6711760139
155	0.7617108046	0.6712357403
156	0.7616860508	0.6714447829
157	0.7615225812	0.6715343726
158	0.761401895	0.6715343726
159	0.7613797929	0.6715343726
160	0.761271438	0.6715642358
161	0.7610103705	0.6718031416
162	0.7609121545	0.6717434152
163	0.760844134	0.671982321
164	0.760740566	0.671982321
165	0.7606571101	0.6720420474
166	0.7605562998	0.6719225945
167	0.7604986193	0.6720121842
168	0.7604799354	0.6720420474
169	0.7604643208	0.6720420474
170	0.7604542048	0.6720420474
171	0.760320147	0.6722809532
172	0.7601969001	0.672519859
173	0.7601048036	0.672639312
174	0.7599307794	0.6726094487
175	0.7597113282	0.6724899958
176	0.7596912718	0.672519859
177	0.7595111286	0.672519859
178	0.7594257759	0.6723705429
179	0.7593949503	0.6724601326
180	0.7593129078	0.6725795855
181	0.7592939601	0.6725795855
182	0.7590709089	0.6730872603
183	0.7590437983	0.6732067133
184	0.7590272896	0.6732365765
185	0.7587833817	0.6735053455
186	0.7586790009	0.673833841
187	0.7586543569	0.673833841
188	0.7586396994	0.673833841
189	0.7586308149	0.6738637042
190	0.7585504569	0.6739831571
191	0.7585409578	0.6739831571
192	0.7584919152	0.6740130204
193	0.7584138539	0.6740130204
194	0.7583437552	0.6741324733
195	0.7583313476	0.6741324733
196	0.7582440971	0.6741623365
197	0.7580612335	0.6740727468
198	0.7578457785	0.6746102849
199	0.7577464799	0.6745206952
200	0.7577324872	0.674490832
201	0.7576437815	0.6744311055
202	0.7575468262	0.674490832
203	0.7574512091	0.6745505584
204	0.7573507112	0.6744609688
205	0.7573071001	0.6744311055
206	0.757284961	0.6743415159
207	0.7572632042	0.6744311055
208	0.7572339967	0.6744609688
209	0.7572204165	0.674490832
210	0.7570537849	0.6745206952
211	0.7569227358	0.6746700113
212	0.7568813966	0.6745505584
213	0.7568673614	0.6745804217
214	0.7567278713	0.6744609688
215	0.7566821324	0.674759601
216	0.7565832752	0.6750283701
217	0.7565306956	0.6750582333
218	0.7564506566	0.675147823
219	0.7563713821	0.6751179597
220	0.7562741014	0.6752075494
221	0.7562378786	0.675147823
222	0.7562191862	0.6752075494
223	0.7561310692	0.6751179597
224	0.7560834628	0.6752971391
225	0.7558992465	0.6753270023
226	0.7558606385	0.6752672759
227	0.755847034	0.6752971391
228	0.7558381596	0.6753568656
229	0.7558171144	0.6753568656
230	0.7556266935	0.6753867288
231	0.7556172521	0.6753867288
232	0.7555123461	0.6752971391
233	0.7554758683	0.6753270023
234	0.7553826637	0.6752374127
235	0.755243791	0.6752971391
236	0.7552170725	0.675416592
237	0.7552012917	0.6754464552
238	0.7551874517	0.6754464552
239	0.7550192453	0.6754464552
240	0.7550081837	0.6754464552
241	0.754860387	0.6755360449
242	0.7548517854	0.6755360449
243	0.7548395559	0.6755360449
244	0.7548116843	0.6755360449
245	0.7546765595	0.6755061817
246	0.7546603246	0.6755360449
247	0.7545712685	0.6755061817
248	0.754551062	0.6754763185
249	0.7543377127	0.675804814
250	0.7543279092	0.675804814
251	0.754317911	0.6757749507
252	0.7542883518	0.6758346772
253	0.7542043963	0.6758645404
254	0.7540528194	0.6761333094
255	0.7539549762	0.6763124888
256	0.7539434316	0.676342352
257	0.7539361379	0.6763722153
258	0.753917371	0.6764020785
259	0.7538692018	0.6763722153
260	0.7538340857	0.6764916682
261	0.753625724	0.676342352
262	0.753474879	0.6768798901
263	0.7533766609	0.676999343
264	0.7533648247	0.6770292062
265	0.7533491522	0.676999343
266	0.7532550368	0.6769396166
267	0.7531622063	0.6768201637
268	0.7531298477	0.6767903004
269	0.7531158433	0.6767903004
270	0.7530566796	0.6772382488
271	0.7530377194	0.6772382488
272	0.7529111443	0.6768798901
273	0.7529034392	0.6769097533
274	0.7528689839	0.6768500269
275	0.7527790062	0.6770590695
276	0.7527204503	0.6770292062
277	0.752606696	0.6771187959
278	0.7524877525	0.6773278385
279	0.7524667507	0.6774174282
280	0.7523340856	0.6775368811
281	0.7522704081	0.6775070179
282	0.7522277305	0.677656334
283	0.7521511945	0.6777160604
284	0.7521431653	0.6777160604
285	0.7520840649	0.6778355133
286	0.7520177126	0.6777459237
287	0.7518888279	0.6778355133
288	0.7518771805	0.6778355133
289	0.7518353117	0.677925103
290	0.7518137379	0.6778355133
291	0.7517328002	0.6779848295
292	0.7517205585	0.6779848295
293	0.7516628312	0.6778952398
294	0.7515587662	0.6779848295
295	0.7515473991	0.6780744192
296	0.7515267952	0.6779848295
297	0.7514483007	0.6779848295
298	0.7511456181	0.6779848295
299	0.7510155451	0.6778653766
300	0.7509512203	0.677925103
301	0.7507907063	0.6779549663
302	0.7507756321	0.6779848295
303	0.7506668517	0.6779848295
304	0.7506501539	0.6779848295
305	0.7506368164	0.6779549663
306	0.7505958884	0.677925103
307	0.7505169891	0.6779549663
308	0.7505063895	0.677925103
309	0.7504021623	0.6781640088
310	0.7503032291	0.6783431882
311	0.7502239572	0.6782834617
312	0.7500741594	0.6784327779
313	0.7499414948	0.678313325
314	0.7497439023	0.6784327779
315	0.7497229128	0.6783730514
316	0.7497094621	0.6783730514
317	0.7496822559	0.678313325
318	0.7496431154	0.6783730514
319	0.7495349062	0.6783730514
320	0.7494963471	0.6783730514
321	0.7493817207	0.6781341456
322	0.7492686297	0.6785522308
323	0.7491861655	0.6785522308
324	0.7490681005	0.6784626411
325	0.7489688655	0.678313325
326	0.7489404211	0.6785223676
327	0.7487528841	0.6784029147
328	0.7487435079	0.6784327779
329	0.7486171391	0.6784925043
330	0.7485571646	0.6785223676
331	0.7485418899	0.6785223676
332	0.7483751013	0.678582094
333	0.7482671814	0.6786418205
334	0.7482534407	0.6786119572
335	0.7482369553	0.6786119572
336	0.7481053385	0.6786119572
337	0.7480925945	0.6785223676
338	0.7480027054	0.6784327779
339	0.747919489	0.6786119572
340	0.747867388	0.6786418205
341	0.7478541913	0.6786119572
342	0.747839342	0.6786418205
343	0.7476882762	0.6788209998
344	0.7476718299	0.6788807263
345	0.7476453358	0.6790001792
346	0.7474017738	0.6791494953
347	0.7473882109	0.6791196321
348	0.7473220628	0.6791196321
349	0.7473117706	0.6791196321
350	0.7472687698	0.6790599056
351	0.7472438669	0.6790897689
352	0.7472343446	0.6790897689
353	0.7471861189	0.6792092218
354	0.7470964304	0.6793286747
355	0.7470162612	0.6792988114
356	0.7470040515	0.6792988114
357	0.7469725503	0.6793286747
358	0.7469541963	0.6794481276
359	0.7469274267	0.6794481276
360	0.7467221796	0.6794182643
361	0.7466729617	0.6796571702
362	0.7466586765	0.6796870334
363	0.7466390711	0.6796870334
364	0.7465202322	0.6797467598
365	0.7464549673	0.6795675805
366	0.7463940784	0.6796870334
367	0.7462856739	0.679896076
368	0.7460906974	0.6801051186
369	0.7460832532	0.6801349818
370	0.7459483327	0.6800752553
371	0.7459345863	0.6800453921
372	0.7458304678	0.6802245715
373	0.7457593109	0.6801947082
374	0.7457477212	0.6802245715
375	0.7457249975	0.6802842979
376	0.7456959369	0.6802245715
377	0.7456671231	0.6803141611
378	0.7456421646	0.6801349818
379	0.7456332341	0.6801349818
380	0.7455747682	0.6799558024
381	0.7454678724	0.6799856657
382	0.7454596234	0.6799856657
383	0.7453930505	0.6800453921
384	0.7453823515	0.6800453921
385	0.7453270852	0.6799259392
386	0.7452613351	0.6799259392
387	0.7452049701	0.6798662127
388	0.745082701	0.6802842979
389	0.7450603301	0.6804037508
390	0.745040377	0.6803440244
391	0.7450301803	0.680433614
392	0.7449343073	0.680553067
393	0.7449028455	0.6806127934
394	0.7448815668	0.6806426566
395	0.7448350082	0.680553067
396	0.7447792551	0.6806127934
397	0.7447303444	0.6809412889
398	0.7445032393	0.6810607418
399	0.7441088198	0.6813593741
400	0.7440714518	0.6812100579
401	0.7440516038	0.6811801947
402	0.7439346728	0.6813295108
403	0.7438997068	0.6813593741
404	0.7438759323	0.6814191005
405	0.7438677516	0.6814191005
406	0.7437801452	0.681478827
407	0.7436429778	0.6817774592
408	0.7435448402	0.682016365
409	0.7435088417	0.6819566386
410	0.7434651924	0.6820760915
411	0.7433859918	0.682135818
412	0.7433787067	0.6821656812
413	0.743346959	0.6818371857
414	0.7433131984	0.6818371857
415	0.7433005173	0.6818371857
416	0.743210595	0.6819267754
417	0.7432006054	0.6819267754
418	0.7431834538	0.6819566386
419	0.743174403	0.6819566386
420	0.7431271912	0.6819865018
421	0.7429428729	0.6821955444
422	0.7428730317	0.6821955444
423	0.7428303017	0.6823149973
424	0.7427522899	0.6823149973
425	0.7427405135	0.6823149973
426	0.7427342763	0.6823149973
427	0.7427251933	0.6823149973
428	0.742652797	0.6820462283
429	0.742603486	0.6819566386
430	0.7425729496	0.6820760915
431	0.7425631576	0.6820760915
432	0.7425069752	0.6821955444
433	0.7424424326	0.6821955444
434	0.7424106434	0.6822851341
435	0.7423259587	0.6822851341
436	0.7422227399	0.6823448605
437	0.742132532	0.6827032193
438	0.7421250475	0.682673356
439	0.7420921486	0.6826136296
440	0.7420719032	0.6826434928
441	0.7419852279	0.682673356
442	0.7419244722	0.6828823986
443	0.7418675754	0.6827928089
444	0.7418332852	0.6828226722
445	0.7417301291	0.6830018515
446	0.7416888866	0.6830018515
447	0.7416651669	0.6830018515
448	0.7416569645	0.6830317147
449	0.7416114571	0.6830018515
450	0.7415244189	0.6830018515
451	0.7415140227	0.6831213044
452	0.741434774	0.6830914412
453	0.7413325498	0.6832706206
454	0.7413028896	0.6833004838
455	0.7412204443	0.6834199367
456	0.741122202	0.6835095264
457	0.7410730629	0.6834199367
458	0.7410645923	0.6834497999
459	0.7409080096	0.6833900735
460	0.740854571	0.6834497999
461	0.740791121	0.6834796631
462	0.7406744238	0.683599116
463	0.7406648321	0.683599116
464	0.7404933582	0.6834796631
465	0.7404856263	0.6834497999
466	0.7404306806	0.683599116
467	0.7404195469	0.6835692528
468	0.7404117868	0.6835692528
469	0.7403780972	0.6834497999
470	0.7403656921	0.6834497999
471	0.7403564283	0.6835095264
472	0.7403194492	0.6835692528
473	0.7402505195	0.6836588425
474	0.7401832864	0.6837484322
475	0.7401508428	0.6839574748
476	0.7400809657	0.6837484322
477	0.7400464823	0.6838081586
478	0.7400388419	0.6838081586
479	0.739994337	0.6840470644
480	0.7399869129	0.6840470644
481	0.7399795267	0.6840470644
482	0.7398977196	0.6841366541
483	0.7398897568	0.6841665174
484	0.7397983142	0.6841665174
485	0.7397243927	0.6841963806
486	0.7396912785	0.6841366541
487	0.7396841336	0.6841366541
488	0.7396750245	0.6841366541
489	0.7396478831	0.684256107
490	0.7395846388	0.6842262438
491	0.7395262957	0.6843755599
492	0.7394682821	0.6844054232
493	0.7394611253	0.6844352864
494	0.7393497307	0.6844352864
495	0.7391813993	0.6845846025
496	0.7390392838	0.6845248761
497	0.7389259428	0.6844651496
498	0.7388837887	0.6847040554
499	0.7388751637	0.6846741922
500	0.7388608007	0.6846741922
501	0.7388070139	0.6847637819
502	0.7387964685	0.6848235083
503	0.7387648781	0.6847936451
504	0.7386943781	0.6847936451
505	0.7386715169	0.6847339187
506	0.7386652232	0.6847339187
507	0.7386597488	0.6847339187
508	0.7386519325	0.6847339187
509	0.7385753848	0.6847339187
510	0.7385659429	0.6847637819
511	0.7385315218	0.6847936451
512	0.7385102857	0.6848533716
513	0.7384795479	0.6848533716
514	0.7384384949	0.6847936451
515	0.7383031797	0.6846741922
516	0.7382648363	0.6847936451
517	0.7382125028	0.6846144657
518	0.7381794934	0.6846144657
519	0.7381485138	0.6846741922
520	0.7381294649	0.6846741922
521	0.7381190158	0.6847339187
522	0.7380387764	0.6847339187
523	0.737965254	0.684913098
524	0.7378251333	0.6849429612
525	0.7378008406	0.6850026877
526	0.7377891556	0.6850026877
527	0.7376950041	0.6850624141
528	0.7376886661	0.6850624141
529	0.7376817801	0.6850026877
530	0.7376610534	0.6850624141
531	0.7376101376	0.6850624141
532	0.7376048384	0.6850325509
533	0.737488459	0.6851520038
534	0.7374385021	0.685181867
535	0.737313842	0.6852714567
536	0.7372589262	0.6851520038
537	0.7371160671	0.6848533716
538	0.737007458	0.684913098
539	0.7369437433	0.6849728245
540	0.7369061886	0.6850325509
541	0.7367048872	0.6855103625
542	0.7366739413	0.6855402258
543	0.736598676	0.6855103625
544	0.7365916466	0.6855103625
545	0.7365569464	0.6854506361
546	0.7365419354	0.6853909096
547	0.7364974821	0.6854804993
548	0.7364260701	0.6852714567
549	0.7364203271	0.6852415935
550	0.7363974807	0.6852714567
551	0.7363702891	0.6853610464
552	0.7363615397	0.6853610464
553	0.7362654002	0.6854506361
554	0.7361496353	0.6853909096
555	0.7361141061	0.6854506361
556	0.7360503086	0.6856596787
557	0.7360113256	0.6856596787
558	0.7359940669	0.6857492684
559	0.735863643	0.6857194051
560	0.7358320241	0.685570089
561	0.7357822456	0.6856895419
562	0.7357675804	0.6855999522
563	0.7357345764	0.6858089948
564	0.7355932182	0.685838858
565	0.7355352787	0.6857492684
566	0.735458603	0.685838858
567	0.7353626136	0.6857791316
568	0.7353235555	0.6857791316
569	0.7353141242	0.6857492684
570	0.7353055635	0.6857492684
571	0.7352894522	0.685838858
572	0.7351304964	0.6859583109
573	0.7351217439	0.6860479006
574	0.7350669515	0.6859583109
575	0.7350002092	0.6861076271
576	0.7349950623	0.6860777638
577	0.7349898297	0.6860777638
578	0.7348913651	0.6860479006
579	0.734880232	0.6860479006
580	0.7348538224	0.6859881742
581	0.7347468562	0.6860479006
582	0.7346992341	0.6859881742
583	0.734681417	0.6859583109
584	0.7346676679	0.6859881742
585	0.7346093339	0.6858985845
586	0.7345998418	0.6858985845
587	0.7345791587	0.6859583109
588	0.734563119	0.6859881742
589	0.734460969	0.6859881742
590	0.7344537554	0.6859881742
591	0.7344120911	0.6861076271
592	0.7342680957	0.6863465329
593	0.7342415605	0.6863166697
594	0.7341552607	0.6864361226
595	0.7341330748	0.6865854387
596	0.7341261199	0.6865555755
597	0.7339704387	0.6864659858
598	0.733904135	0.6864062593
599	0.7338909205	0.6864361226
600	0.733788562	0.6865555755
601	0.7337745498	0.6865854387
602	0.7337363961	0.6865555755
603	0.7336740266	0.6865854387
604	0.7335924985	0.6866750284
605	0.7334790704	0.6866451651
606	0.7334069121	0.6866750284
607	0.7333528312	0.686764618
608	0.7333460222	0.6867944813
609	0.7333413009	0.686764618
610	0.7332412964	0.6867347548
611	0.7331884962	0.6867944813
612	0.7331559378	0.6867048916
613	0.7331504713	0.6867048916
614	0.7330935456	0.6866451651
615	0.732974801	0.6868542077
616	0.7329588676	0.6868542077
617	0.7328112961	0.6870035239
618	0.7326482124	0.6870632503
619	0.732638382	0.6871229768
620	0.7326326766	0.6871229768
621	0.7326237425	0.6871827032
622	0.7326098643	0.6870931135
623	0.732603016	0.6870931135
624	0.7325944495	0.6871229768
625	0.7325630137	0.6871827032
626	0.7325072688	0.6871827032
627	0.7324993791	0.6871827032
628	0.7324339711	0.68715284
629	0.7323915083	0.6872125664
630	0.7323641308	0.6872424297
631	0.7323553463	0.6872722929
632	0.7323045928	0.6872424297
633	0.7322672202	0.6873320194
634	0.7321884141	0.6871827032
635	0.7321099685	0.6873021561
636	0.7321047846	0.6873021561
637	0.7320833909	0.6873618826
638	0.7320195638	0.6873917458
639	0.7319351086	0.6873021561
640	0.7318725864	0.6873917458
641	0.7318620088	0.6873618826
642	0.7318273794	0.6872424297
643	0.7318203111	0.6872424297
644	0.7317415251	0.6873320194
645	0.7317183918	0.6873320194
646	0.7316074592	0.6875111987
647	0.7315727928	0.6873320194
648	0.7315652715	0.6873618826
649	0.7314707904	0.6873917458
650	0.7313701608	0.6876007884
651	0.731307044	0.6876306516
652	0.7312965296	0.6876306516
653	0.7312760633	0.6877799677
654	0.7312437391	0.6877799677
655	0.7311957677	0.6877202413
656	0.7311828512	0.6877202413
657	0.7311644396	0.6876903781
658	0.7310752973	0.6876605148
659	0.7310204066	0.6877799677
660	0.7309158131	0.6876306516
661	0.7308278548	0.6876306516
662	0.7308211987	0.6876306516
663	0.7307630443	0.6876605148
664	0.7307081832	0.6875410619
665	0.7306914222	0.6875709252
666	0.7306842491	0.6875410619
667	0.7306542221	0.6874813355
668	0.7306203496	0.6874514723
669	0.7305863892	0.6876007884
670	0.7305623057	0.6875709252
671	0.7305399826	0.6875709252
672	0.7305014939	0.687421609
673	0.7304894601	0.6875111987
674	0.7304776185	0.6874813355
675	0.7303939813	0.687421609
676	0.7303890164	0.687421609
677	0.7303327148	0.6875709252
678	0.7301922194	0.6876903781
679	0.7301430102	0.6876605148
680	0.7301296764	0.6877202413
681	0.7300933206	0.6878396942
682	0.7300271283	0.6878994207
683	0.7300162064	0.6878994207
684	0.7299422211	0.6878396942
685	0.7299310836	0.6878695574
686	0.7299209539	0.6878695574
687	0.7299154393	0.6878695574
688	0.7298960097	0.6877799677
689	0.7298710575	0.687809831
690	0.7298645239	0.687809831
691	0.729849154	0.687809831
692	0.729842668	0.687809831
693	0.7298374478	0.687809831
694	0.7297880033	0.6877501045
695	0.7297207424	0.6876903781
696	0.729700501	0.6877799677
697	0.7296482683	0.6876903781
698	0.7296156888	0.6876306516
699	0.7296035079	0.6876605148
700	0.7295238197	0.6876605148
701	0.7294192162	0.6878695574
702	0.7292952576	0.6880188736
703	0.7292500858	0.6880786
704	0.729240947	0.6880786
705	0.729215226	0.6881980529
706	0.7291832552	0.6882876426
707	0.7291418562	0.6882876426
708	0.729087709	0.6882279161
709	0.729074664	0.6882279161
710	0.729069835	0.6881681897
711	0.7290112796	0.6881383265
712	0.729004055	0.6881084632
713	0.7289375907	0.6882279161
714	0.7289292902	0.6881681897
715	0.7288482193	0.6881383265
716	0.7287976697	0.6882279161
717	0.7287323501	0.6884070955
718	0.7286630684	0.688466822
719	0.7285324113	0.6886161381
720	0.7285107214	0.6886460013
721	0.7285038884	0.6886460013
722	0.7284956329	0.6886460013
723	0.7284900578	0.6886460013
724	0.7284553379	0.6886460013
725	0.728450355	0.6887057278
726	0.7284401742	0.6886758645
727	0.7284275733	0.6886758645
728	0.728384979	0.688735591
729	0.7283785616	0.6887654542
730	0.72834021	0.6887654542
731	0.7282983464	0.6886460013
732	0.7282899288	0.6885862749
733	0.7282845672	0.6887057278
734	0.7282778927	0.6886161381
735	0.728162946	0.6888251807
736	0.7281581267	0.6888251807
737	0.7280703075	0.6889446336
738	0.727939118	0.6889744968
739	0.7279243622	0.6889147704
740	0.727918045	0.6889744968
741	0.727872922	0.6889147704
742	0.7278420751	0.6888849071
743	0.7278354476	0.6889446336
744	0.7278101575	0.6889744968
745	0.7278034963	0.68900436
746	0.7277905632	0.6889446336
747	0.727764856	0.6889744968
748	0.7277587254	0.6889744968
749	0.7277514988	0.68900436
750	0.727684545	0.6891835394
751	0.7276781618	0.6890939497
752	0.7276719951	0.6891238129
753	0.7275976343	0.6890342233
754	0.7275557213	0.6892134026
755	0.7275423984	0.6892134026
756	0.7275315529	0.6892432658
757	0.7275123514	0.6893029923
758	0.7275070248	0.6893029923
759	0.7274926544	0.6893029923
760	0.7274851278	0.6893328555
761	0.7274450897	0.6893627187
762	0.7274367799	0.6893627187
763	0.7274209058	0.6893627187
764	0.7274137659	0.6893627187
765	0.7272871951	0.6893627187
766	0.7272826307	0.6893627187
767	0.7271777823	0.6893029923
768	0.7271584806	0.6893328555
769	0.7271509957	0.6893627187
770	0.7271013999	0.6893328555
771	0.7270942953	0.6893029923
772	0.7270842651	0.6893328555
773	0.7270503408	0.6893627187
774	0.727045222	0.6894224452
775	0.727027572	0.6892432658
776	0.7269630556	0.6893627187
777	0.7269574253	0.689392582
778	0.726952592	0.6894224452
779	0.7268909737	0.6895120349
780	0.7268759115	0.6896016246
781	0.72681175	0.6897210775
782	0.7268080397	0.6897210775
783	0.726708391	0.6895717613
784	0.7266359253	0.6896016246
785	0.7266315449	0.6896016246
786	0.7266138557	0.6896314878
787	0.7266086853	0.6896314878
788	0.7265757804	0.6896314878
789	0.7265255353	0.6897509407
790	0.7263202076	0.6897210775
791	0.7263150893	0.6897210775
792	0.7262429768	0.6900794362
793	0.7261792967	0.6899599833
794	0.726153748	0.690049573
795	0.7261373892	0.6901092994
796	0.7260884328	0.6899898465
797	0.7260281285	0.6899002568
798	0.7259713787	0.690049573
799	0.7259077693	0.690049573
800	0.7258940525	0.690049573
801	0.7258676223	0.6900197097
802	0.7258532039	0.6901092994
803	0.7257723065	0.690049573
804	0.7256203392	0.6901690259
805	0.7255284804	0.6901391626
806	0.7255192407	0.6901690259
807	0.7255029046	0.6901391626
808	0.7254344252	0.6901092994
809	0.7254266984	0.6901391626
810	0.7254076158	0.6901092994
811	0.7253996381	0.6901092994
812	0.7253854322	0.6900794362
813	0.7253793459	0.6900794362
814	0.7253715144	0.6901092994
815	0.7253383047	0.6901988891
816	0.7253086679	0.6902586155
817	0.7252765913	0.6902884788
818	0.7252721892	0.6902884788
819	0.7252666595	0.6902287523
820	0.7252598815	0.6902287523
821	0.7252234565	0.6902586155
822	0.7252067476	0.6901988891
823	0.7251909264	0.6902586155
824	0.725084444	0.6906169743
825	0.7250768389	0.6905572478
826	0.7250124887	0.6904676581
827	0.7249620002	0.6904676581
828	0.7248665532	0.6904676581
829	0.7248628737	0.6904676581
830	0.7248576015	0.6904676581
831	0.7248255192	0.6904676581
832	0.7248206646	0.6904377949
833	0.7247704768	0.6904377949
834	0.724758054	0.6904975214
835	0.7246750535	0.6905273846
836	0.7246246298	0.6906468375
837	0.7244192624	0.690587111
838	0.7243766467	0.6905572478
839	0.7243666938	0.6906169743
840	0.7243493171	0.6906468375
841	0.7243436624	0.6906468375
842	0.7242616538	0.6908857433
843	0.7241727704	0.6908857433
844	0.7241152185	0.6910350594
845	0.7240608891	0.6910350594
846	0.7240286378	0.6910350594
847	0.7240168158	0.6910350594
848	0.7239750209	0.6910350594
849	0.7239567189	0.6910649227
850	0.7239517835	0.6910649227
851	0.7239248441	0.6911246491
852	0.7238953643	0.6910947859
853	0.7238613256	0.6912142388
854	0.7237787016	0.6911246491
855	0.7237561611	0.6910649227
856	0.7237525766	0.6910649227
857	0.7236986567	0.6911246491
858	0.7236679005	0.6911843756
859	0.7235892619	0.6912142388
860	0.7235814464	0.6912142388
861	0.7235726941	0.691244102
862	0.723561353	0.6912142388
863	0.7235460377	0.6913038285
864	0.7235403449	0.6913038285
865	0.7235023777	0.6913635549
866	0.7234707326	0.6913635549
867	0.7233608869	0.6913934181
868	0.7233377667	0.6915128711
869	0.7232763751	0.6916621872
870	0.7232515931	0.6916621872
871	0.7232438147	0.6916621872
872	0.7231991286	0.6916920504
873	0.7231831132	0.6916920504
874	0.7231783818	0.6916920504
875	0.7230917848	0.6917517769
876	0.7230761593	0.6918115033
877	0.7230577896	0.6918115033
878	0.7230527304	0.6918413665
879	0.7230466276	0.6918712298
880	0.7230402533	0.6918413665
881	0.7230305979	0.6919309562
882	0.7230247611	0.6919608194
883	0.7230044847	0.6919309562
