adopt_feature,adopt_importance,euth_feature,euth_importance,transfer_feature,transfer_importance
breed_Domestic Longhair,0.05407770521224028,breed_Javanese Mix,0.022140307846063946,color_Brown Merle/Brown Tabby,0.07523647801629041
color_White/Cream Tabby,0.05175179592626715,breed_British Shorthair Mix,0.02210311121607375,color_Blue Point,0.0707939703542762
breed_Cornish Rex Mix,0.050980174137310146,color_Seal Point/Cream,0.021839298336570015,color_Tricolor,0.0692217730006348
color_Blue Point,0.050938199083952536,color_Silver/Silver Tabby,0.02149513152225807,color_Lynx Point/Cream,0.0677301828008866
breed_Burmese Mix,0.049968179219828476,breed_American Curl Shorthair/Siamese,0.021255901462675263,breed_Bengal/Domestic Shorthair,0.0664332269836904
color_Brown/Black,0.04858935342482039,color_Cream Tiger/Brown Tabby,0.021248362115381454,color_Brown Tabby/Calico,0.06506388358461711
color_White/Black,0.047194897543908765,color_White/Brown Tabby,0.02056895841053895,color_Calico/Brown,0.06497858150492937
color_Calico/Calico,0.04695449375721235,color_Brown Tabby/Black Tabby,0.01964702712874065,color_Brown Tabby/Blue,0.06375844081102862
color_Cream/White,0.04408053545155114,color_Calico Point/Gray,0.019250664618515257,color_Black,0.06354277364858348
color_White/Orange,0.040465048967141114,color_Brown/Cream,0.019223621290959354,breed_Maine Coon Mix,0.06306614097943566
intake_condition_Nursing,0.03191710731927637,color_Tortie Point/Lynx Point,0.01917245668408035,color_Silver Tabby,0.06194902488591986
color_White/Seal Point,0.030856557469523368,color_Tortie/Gold,0.018598610556446116,color_Blue/Blue,0.05889197296522598
breed_Abyssinian,0.028243062136111982,breed_Domestic Shorthair/Scottish Fold,0.018421198054970944,color_Blue Tabby,0.05849330610529945
color_Black,0.020699804104659783,breed_Angora Mix,0.01790543080253769,breed_Bengal,0.05802533362467087
color_Seal Point/White,0.01465910687587877,color_Flame Point/Cream,0.017738015999817308,breed_Snowshoe Mix,0.05721287132429774
breed_American Shorthair,0.014207052057660893,color_Cream/Gray,0.01739794289306675,color_White/Orange Tabby,0.05659798011986314
color_Brown Tabby/Gray,0.007976314936415312,breed_Ocicat Mix,0.016924070223751683,color_Calico Point/White,0.053419656738238355
color_Black/Black,0.005476260998665768,color_Cream Tabby/Orange,0.016532441640097532,color_Blue Smoke/White,0.043368636083569286
color_Pink,0.004587148506842356,breed_American Curl Shorthair/Japanese Bobtail,0.016374224133432376,color_Brown Tabby,0.041455829532623376
color_Yellow/Orange Tabby,0.004557587605659215,breed_Domestic Shorthair/Maine Coon,0.015927428901293193,color_Lynx Point/White,0.04039651116070666
color_Sable/White,0.0022965083138184227,breed_Tonkinese,0.0156965742357187,intake_condition_Other,0.0379785479409003
color_Tan/White,0.0022836526840609157,color_Cream Tabby/White,0.015377594200821333,color_White/Cream Tabby,0.03748385280105833
color_Calico/Brown,0.002129883473105758,breed_Balinese,0.014730842294246234,color_Cream Tabby,0.0358853386057876
color_Agouti/Cream,0.0021230441764875166,color_Brown Tabby/Gray,0.013812923403174216,breed_Himalayan Mix,0.03575223230367534
