adopt_feature,adopt_importance,euth_feature,euth_importance,transfer_feature,transfer_importance
intake_condition_Neonatal,0.002385368337854743,color_Gray Tabby/White,0.003613385371863842,intake_condition_Aged,0.0033542548771947622
color_Tortie/White,0.00236106151714921,color_Tortie/White,0.0035989838652312756,intake_condition_Medical,0.0033153078984469175
breed_Russian Blue Mix,0.0023286740761250257,breed_Russian Blue,0.0035135881043970585,color_Cream/White,0.0030676042661070824
color_Blue,0.002265852177515626,breed_Manx Mix,0.0032827805262058973,color_Blue Point,0.0030156366992741823
color_Black Smoke,0.0022526236716657877,breed_Snowshoe Mix,0.0031829653307795525,color_Seal Point,0.0029736028518527746
color_Gray/Gray,0.0022141425870358944,intake_type_Abandoned,0.003176935715600848,color_Gray Tabby/Black,0.002966885222122073
color_Seal Point/White,0.002092851558700204,color_Brown/Black,0.0031649197917431593,color_Chocolate Point,0.0028270422481000423
color_White/Orange,0.0019533736631274223,breed_Russian Blue Mix,0.003142226254567504,intake_condition_Neonatal,0.0028094507288187742
breed_Manx,0.0019489963306114078,color_Orange/White,0.003099929541349411,breed_Persian Mix,0.002607849193736911
breed_Maine Coon Mix,0.0019251229241490364,breed_Maine Coon Mix,0.0030560886953026056,breed_Russian Blue Mix,0.0025215516798198223
breed_Ragdoll,0.0019214776111766696,color_Black/Gray,0.003043025266379118,breed_Ragdoll Mix,0.0025129825808107853
breed_Persian Mix,0.0019197147339582443,color_White/Blue Tabby,0.0028363303281366825,breed_Snowshoe,0.002319777151569724
intake_condition_Aged,0.0019094070885330439,color_Chocolate Point,0.0026807961985468864,breed_Russian Blue,0.0022779253777116537
color_White/Blue Tabby,0.0018597256857901812,color_White/Orange Tabby,0.002637452445924282,color_White/Gray,0.0022669839672744274
color_White/Blue,0.0018588752718642354,color_Tortie Point,0.002564441179856658,color_White/Orange,0.002253839047625661
color_White/Gray Tabby,0.0018472073134034872,color_Calico/White,0.002318777609616518,breed_Manx Mix,0.002243271330371499
color_Brown/White,0.001788394059985876,color_Cream/White,0.002277873456478119,breed_Ragdoll,0.002152472734451294
color_Silver Lynx Point,0.0017367034452036023,color_Blue Point,0.0020412802696228027,breed_Manx,0.0021262329537421465
color_Chocolate Point,0.0017258258303627372,color_Black Tabby/White,0.002028366783633828,color_Blue Smoke,0.0020968925673514605
breed_Persian,0.0017013183096423745,color_Brown,0.0014357668114826083,breed_Maine Coon Mix,0.00205692439340055
color_Blue Smoke,0.0016653153579682112,color_White/Brown,0.0009151679696515203,color_Blue Point/White,0.002038264647126198
breed_Turkish Angora Mix,0.001526431879028678,color_Black/Black,0.0008739327895455062,color_Tortie/White,0.0020039803348481655
color_Buff,0.0014548295876011252,color_Black Smoke/White,0.0007977193454280496,color_Lynx Point,0.0019815326668322086
color_Black/Orange,0.0014482915867120028,breed_Balinese Mix,0.0006351029151119292,color_White/Gray Tabby,0.001751019968651235
color_White/White,0.0013810916570946574,color_Blue Cream,0.0005359144415706396,color_Lilac Point/White,0.0017491393955424428
color_Calico/Black,0.0013768610078841448,color_Orange Tabby/Apricot,0.0,breed_Turkish Van Mix,0.0016941752983257174
color_White/Tan,0.0013255311641842127,color_Lynx Point/White,0.0,color_Flame Point,0.0016935521271079779
color_Blue Point/White,0.0013182512484490871,breed_Abyssinian/Domestic Shorthair,0.0,breed_Persian,0.001679660170339048
breed_Turkish Van Mix,0.0012931071687489748,color_White/Tan,0.0,color_Buff,0.0016479328041896224
intake_condition_Medical,0.001247877487912774,color_Orange Tabby/Black,0.0,color_Brown/White,0.0015725792618468404
breed_Himalayan Mix,0.0012284301919862628,color_Orange Tabby/Brown,0.0,color_Tortie/Black,0.0015705267433077097
breed_Snowshoe,0.0011683215852826834,color_Orange Tabby/Cream,0.0,color_White/Brown,0.0014981712447479367
color_Lilac Point/White,0.0011199916480109096,color_Orange Tabby/Orange,0.0,color_Blue Tabby/Cream,0.0014716931618750095
intake_condition_Pregnant,0.0010855274740606546,color_Orange Tabby/Orange Tabby,0.0,color_White/White,0.0014648044016212225
color_Chocolate,0.001051295199431479,breed_American Curl Shorthair,0.0,color_Cream/Brown,0.0014281189069151878
color_White/Cream,0.0010483281221240759,color_Orange Tabby/Tortie Point,0.0,color_Black Smoke,0.0014184092869982123
color_Tortie Point/White,0.0010293152881786227,color_Lynx Point/Tan,0.0,breed_American Shorthair,0.0013764260802417994
color_Lynx Point,0.001014676527120173,color_Orange Tiger,0.0,color_Black/Gray,0.0013529268326237798
color_Gray Tabby/Black,0.0009551871917210519,color_Orange/Orange Tabby,0.0,color_Calico Point,0.0013239780673757195
color_Blue Tabby/Cream,0.000936074007768184,color_Pink,0.0,color_Chocolate,0.001292940229177475
color_Calico Point,0.0008874792838469148,color_Red,0.0,breed_American Curl Shorthair Mix,0.0012273117899894714
breed_Abyssinian Mix,0.0008362152730114758,color_Red Tick,0.0,color_Calico/Black,0.001220286125317216
color_Black/Brown,0.0008149626664817333,color_Red/White,0.0,color_Black/Brown,0.0011949313338845968
color_Silver Tabby,0.0008136876276694238,color_Lynx Point/Tortie Point,0.0,breed_Himalayan Mix,0.001194099080748856
color_Flame Point/White,0.0007922148797661066,color_Lilac Point/Cream,0.0,breed_Turkish Angora Mix,0.001135647646151483
color_Cream,0.0006838201661594212,color_Lynx Point/Gray Tabby,0.0,color_Brown/Black,0.0011182045564055443
breed_American Curl Shorthair Mix,0.0006418878328986466,color_Lynx Point/Gray,0.0,color_Black/Orange,0.001077392022125423
color_Blue Point,0.0006227349513210356,color_Cream/Black,0.0,color_Tortie Point/White,0.000898799451533705
color_Agouti,0.0004955461481586099,color_Cream/Blue Point,0.0,color_Gray/Black,0.0008842088864184916
color_Cream/Brown,0.0004770415253005922,color_Cream/Brown,0.0,color_White/Blue Tabby,0.0008115850505419075
color_Black Tabby/White,0.0004745461337734014,color_Cream/Gray,0.0,color_Silver Lynx Point,0.0007786370115354657
color_Black Smoke/White,0.000472870422527194,color_Cream/Orange,0.0,color_Black Smoke/White,0.0005491781630553305
breed_Himalayan,0.00043528873356990516,color_Cream/Seal Point,0.0,intake_condition_Pregnant,0.0005417015054263175
color_Tortie/Black,0.0004299939901102334,color_Cream/Tan,0.0,breed_Abyssinian Mix,0.0004733753448817879
breed_Abyssinian,0.0004152645997237414,color_Fawn,0.0,color_White/Calico,0.00041589754982851446
color_White/Chocolate,0.0,color_Flame Point/Cream,0.0,color_White/Silver Tabby,0.0
color_White/Calico Point,0.0,color_Flame Point/White,0.0,color_White/Red,0.0
color_Lilac Point/Gray,0.0,color_Gray Tabby/Black,0.0,color_Lynx Point/Gray,0.0
color_White/Chocolate Point,0.0,color_Gray Tabby/Gray,0.0,color_Lynx Point/Cream,0.0
color_White/Flame Point,0.0,color_Gray Tabby/Orange,0.0,color_Lynx Point/Brown Tabby,0.0
color_White/Lilac Point,0.0,color_Gray/Black,0.0,color_White/Seal Point,0.0
color_Lynx Point/Blue,0.0,color_Gray/Brown,0.0,color_Tortie/Blue Cream,0.0
color_Tortie Point/Lynx Point,0.0,color_Gray/Gray,0.0,color_White/Lilac Point,0.0
color_Lynx Point/Brown Tabby,0.0,color_Gray/Gray Tabby,0.0,color_Lynx Point/Gray Tabby,0.0
color_Lynx Point/Cream,0.0,color_Gray/Orange,0.0,color_Lynx Point/Tan,0.0
color_Lynx Point/Gray,0.0,color_Gray/Tan,0.0,color_Lynx Point/Tortie Point,0.0
color_Lynx Point/Gray Tabby,0.0,color_Gray/Tortie,0.0,color_White/Orange Tabby,0.0
color_Lynx Point/Tan,0.0,intake_condition_Space,0.0,color_White/Lynx Point,0.0
color_Lynx Point/Tortie Point,0.0,color_Lilac Point/Black,0.0,color_Orange Tabby/Apricot,0.0
color_White/Calico,0.0,color_Sable,0.0,color_Orange Tabby/Black,0.0
color_White/Buff,0.0,color_Lilac Point/Gray,0.0,color_Orange Tabby/Brown,0.0
color_White/Brown Brindle,0.0,color_Lilac Point/White,0.0,color_Orange Tabby/Cream,0.0
color_White/Brown,0.0,color_Lynx Point/Blue,0.0,color_Orange Tabby/Orange,0.0
color_Orange Tabby/Apricot,0.0,color_Lynx Point/Brown Tabby,0.0,color_Orange Tabby/Orange Tabby,0.0
color_Orange Tabby/Black,0.0,breed_Abyssinian Mix,0.0,color_Lynx Point/Blue,0.0
color_Lilac Point/Cream,0.0,color_Lynx Point/Cream,0.0,color_Lilac Point/Cream,0.0
color_Gray/Tortie,0.0,breed_American Curl Shorthair Mix,0.0,color_White/Tan,0.0
color_Lilac Point/Black,0.0,color_Silver Tabby/Black,0.0,color_White/Tortie,0.0
color_Yellow,0.0,color_Sable/White,0.0,color_Flame Point/Cream,0.0
color_Fawn,0.0,color_Tricolor,0.0,color_Flame Point/White,0.0
intake_condition_Space,0.0,color_White/Yellow,0.0,intake_condition_Space,0.0
color_Flame Point/Cream,0.0,color_White/Agouti,0.0,breed_Abyssinian/Domestic Shorthair,0.0
intake_condition_Behavior,0.0,color_Yellow,0.0,breed_American Curl Shorthair,0.0
breed_Abyssinian/Domestic Shorthair,0.0,color_Tricolor/White,0.0,color_Gray Tabby/Gray,0.0
color_Yellow/Orange Tabby,0.0,color_Tricolor/Orange,0.0,color_Gray Tabby/Orange,0.0
color_Yellow/Orange,0.0,color_Tricolor/Calico,0.0,intake_condition_Behavior,0.0
color_Gray Tabby/Gray,0.0,color_Tortie/Tortie,0.0,color_Gray/Brown,0.0
color_Yellow/Cream,0.0,color_White/Black Tabby,0.0,breed_American Curl Shorthair/Japanese Bobtail,0.0
color_Gray Tabby/Orange,0.0,color_Tortie/Orange,0.0,intake_type_Euthanasia Request,0.0
color_Gray/Black,0.0,color_Tortie/Gold,0.0,color_Gray/Gray Tabby,0.0
color_White/Lynx Point,0.0,color_Tortie/Calico,0.0,color_Gray/Orange,0.0
color_Gray/Brown,0.0,color_Tortie/Brown,0.0,color_Gray/Tan,0.0
color_White/Yellow,0.0,color_Tortie/Blue Tabby,0.0,color_Gray/Tortie,0.0
color_White/Tortie,0.0,color_Tortie/Blue Cream,0.0,color_Yellow/Orange Tabby,0.0
color_White/Silver Tabby,0.0,color_White/Black Smoke,0.0,color_Yellow/Orange,0.0
color_White/Seal Point,0.0,color_White/Brown Brindle,0.0,color_Yellow/Cream,0.0
color_Gray/Gray Tabby,0.0,intake_condition_Behavior,0.0,color_Yellow,0.0
color_Gray/Orange,0.0,color_White/Flame Point,0.0,color_Lilac Point/Black,0.0
color_Gray/Tan,0.0,color_White/Seal Point,0.0,color_White/Flame Point,0.0
color_Orange Tabby/Cream,0.0,color_White/Red,0.0,color_Lilac Point/Gray,0.0
color_White/Red,0.0,color_White/Tortie,0.0,color_White/Yellow,0.0
color_Orange Tabby/Brown,0.0,color_White/Lynx Point,0.0,color_Orange Tabby/Tortie Point,0.0
color_Orange Tabby/Tortie Point,0.0,color_White/Lilac Point,0.0,color_Pink,0.0
color_Orange Tabby/Orange,0.0,color_White/Gray Tabby,0.0,color_Orange Tiger,0.0
color_Orange Tabby/Orange Tabby,0.0,color_White/Cream Tabby,0.0,color_Tortie/Tortie,0.0
color_Silver Tabby/White,0.0,color_White/White,0.0,color_Tan/Cream Tabby,0.0
color_Silver/Silver Tabby,0.0,color_White/Cream,0.0,color_Tan/White,0.0
color_Tortie/Calico,0.0,color_White/Chocolate Point,0.0,color_Tricolor/White,0.0
color_Tan,0.0,color_White/Chocolate,0.0,color_Tricolor/Orange,0.0
color_Tan/Black,0.0,color_White/Calico Point,0.0,color_Tricolor/Calico,0.0
color_Tortie/Brown,0.0,color_White/Calico,0.0,color_Torbie/Black,0.0
color_Tortie/Blue Tabby,0.0,color_White/Buff,0.0,color_Torbie/Blue Cream,0.0
color_Tan/Brown,0.0,color_Tortie/Blue,0.0,color_Torbie/Blue Tabby,0.0
color_Tan/Chocolate Point,0.0,color_Tortie/Black Smoke,0.0,color_Torbie/Brown,0.0
color_Tan/Cream Tabby,0.0,breed_American Curl Shorthair/Siamese,0.0,color_Torbie/Brown Tabby,0.0
color_Tan/White,0.0,color_Silver Lynx Point/White,0.0,color_Tricolor,0.0
color_Tortie/Blue Cream,0.0,breed_American Curl Shorthair/Japanese Bobtail,0.0,color_Torbie/Gray,0.0
color_Torbie/Black,0.0,color_Tan/Black,0.0,color_Tan/Chocolate Point,0.0
color_Tortie/Blue,0.0,color_Tan,0.0,color_Torbie/Silver Tabby,0.0
color_Torbie/Blue Cream,0.0,color_Silver/Silver Tabby,0.0,color_Tortie/Orange,0.0
color_Torbie/Blue Tabby,0.0,color_Silver Tabby/White,0.0,color_Tortie/Gold,0.0
color_Torbie/Brown,0.0,color_White/Silver Tabby,0.0,color_Tortie/Calico,0.0
color_Torbie/Brown Tabby,0.0,color_Silver Lynx Point,0.0,color_Fawn,0.0
color_Tortie/Black Smoke,0.0,color_Yellow/Cream,0.0,color_Tortie Point/Blue,0.0
color_Torbie/Gray,0.0,color_Silver,0.0,color_Tortie Point/Lynx Point,0.0
color_Torbie/Silver Tabby,0.0,color_Seal Point/White,0.0,color_Tortie Point/Seal Point,0.0
color_Cream/Tan,0.0,color_Seal Point/Gray,0.0,color_Tortie/Brown,0.0
color_Tortie Point/Seal Point,0.0,color_Seal Point/Cream,0.0,color_Tortie/Black Smoke,0.0
color_Silver Tabby/Black,0.0,color_Seal Point/Buff,0.0,color_Tortie/Blue,0.0
color_Tortie/Gold,0.0,color_Seal Point/Brown,0.0,color_White/Agouti,0.0
color_Silver Lynx Point/White,0.0,color_Tan/Brown,0.0,color_Tan/Brown,0.0
color_Tricolor/White,0.0,color_Tan/Chocolate Point,0.0,color_Orange/Orange Tabby,0.0
color_Tortie Point/Blue,0.0,color_Tan/Cream Tabby,0.0,color_Seal Point/Buff,0.0
color_White/Black Tabby,0.0,color_Tan/White,0.0,color_White/Cream,0.0
color_Orange Tiger,0.0,color_Torbie/Black,0.0,color_Tortie/Blue Tabby,0.0
color_Orange/Orange Tabby,0.0,color_Torbie/Blue Cream,0.0,color_Red,0.0
color_White/Black Smoke,0.0,color_Torbie/Blue Tabby,0.0,color_Red Tick,0.0
color_Pink,0.0,color_Torbie/Brown,0.0,color_Red/White,0.0
color_Red,0.0,color_Cream Tiger/Brown Tabby,0.0,color_Sable,0.0
color_Red Tick,0.0,color_Torbie/Gray,0.0,color_Sable/White,0.0
color_White/Agouti,0.0,color_Torbie/Silver Tabby,0.0,color_White/Chocolate Point,0.0
color_Red/White,0.0,color_Yellow/Orange Tabby,0.0,color_White/Chocolate,0.0
color_Sable,0.0,color_Yellow/Orange,0.0,color_Seal Point/Brown,0.0
color_Tortie/Orange,0.0,color_Tortie Point/Blue,0.0,color_White/Calico Point,0.0
color_Sable/White,0.0,color_Tortie Point/Lynx Point,0.0,color_Seal Point/Cream,0.0
color_Tricolor/Orange,0.0,color_Tortie Point/Seal Point,0.0,color_Tan/Black,0.0
color_Tricolor/Calico,0.0,color_Tortie Point/White,0.0,color_Seal Point/Gray,0.0
color_Tricolor,0.0,color_Torbie/Brown Tabby,0.0,color_White/Buff,0.0
color_Seal Point/Brown,0.0,color_Calico/Brown Tabby,0.0,color_White/Brown Brindle,0.0
color_Seal Point/Buff,0.0,color_Cream Tiger,0.0,color_Silver,0.0
color_Seal Point/Cream,0.0,breed_Tonkinese,0.0,color_Silver Lynx Point/White,0.0
color_Seal Point/Gray,0.0,breed_Snowshoe,0.0,color_White/Black Tabby,0.0
color_Tortie/Tortie,0.0,breed_Siamese/Snowshoe,0.0,color_Silver Tabby/Black,0.0
color_Silver,0.0,breed_Scottish Fold Mix,0.0,color_Silver Tabby/White,0.0
color_Cream/White,0.0,breed_Ragdoll/Snowshoe,0.0,color_Silver/Silver Tabby,0.0
breed_American Curl Shorthair,0.0,breed_Ragdoll Mix,0.0,color_White/Black Smoke,0.0
color_Cream/Seal Point,0.0,breed_Ragdoll,0.0,color_Tan,0.0
breed_Norwegian Forest Cat Mix,0.0,breed_Pixiebob Shorthair Mix,0.0,breed_American Curl Shorthair/Siamese,0.0
breed_Scottish Fold Mix,0.0,breed_Pixiebob Shorthair,0.0,color_Calico/Brown,0.0
breed_Russian Blue,0.0,breed_Persian Mix,0.0,color_Cream/Tan,0.0
breed_Ragdoll/Snowshoe,0.0,breed_Persian,0.0,breed_Oriental Sh Mix,0.0
